tasks_completed_per_day,average_task_time_minutes,distance_travelled_km,payout_amount,customer_rating,login_hours_per_day,device_changes,location_changes,cancellation_rate,late_delivery_rate
33,15,41,2654,4.65,10,1,0,0.04,0.17
19,22,58,2580,3.53,11,0,1,0.13,0.06
12,20,30,2666,4.22,5,1,2,0.09,0.16
25,19,74,2323,4.11,4,1,1,0.12,0.12
23,25,79,728,4.95,9,0,1,0.12,0.03
27,36,36,2487,3.77,6,0,1,0.1,0.03
15,35,32,1329,4.44,5,0,0,0.04,0.16
15,33,56,1349,3.8,4,1,1,0.11,0.12
28,32,21,1738,4.32,9,1,0,0.02,0.12
28,29,75,1653,4.33,5,1,0,0.04,0.08
7,26,14,1344,3.61,7,0,0,0.1,0.19
26,26,18,2819,4.18,7,1,0,0.14,0.15
6,13,29,902,4.19,5,1,2,0.12,0.19
28,14,72,2102,3.98,5,0,0,0.06,0.04
34,37,39,1126,3.92,8,1,0,0.13,0.13
6,32,25,2323,3.84,9,1,1,0.15,0.13
25,23,14,1480,3.51,10,1,1,0.06,0.04
37,29,38,1576,3.5,7,1,0,0.04,0.08
16,19,56,2794,4.38,6,0,2,0.04,0.06
26,23,31,2884,3.94,5,1,2,0.07,0.2
29,37,66,532,3.75,8,1,1,0.02,0.12
31,10,44,1298,4.53,10,0,2,0.08,0.08
32,20,69,1866,4.29,9,1,1,0.11,0.14
20,35,79,1762,4.87,11,0,2,0.08,0.14
19,32,69,2591,4.75,5,0,2,0.15,0.08
7,27,67,803,4.59,7,1,2,0.07,0.2
11,25,12,2193,3.69,4,1,1,0.01,0.17
25,38,43,2816,4.5,11,1,1,0.08,0.09
13,36,54,2530,4.54,9,0,0,0.14,0.14
22,27,59,2256,4.64,4,1,0,0.02,0.15
8,17,11,899,3.89,7,1,2,0.04,0.05
29,37,24,1421,4.46,11,0,2,0.11,0.18
18,19,46,2978,4.43,6,1,2,0.05,0.17
13,35,24,920,4.08,11,0,1,0.12,0.16
30,19,69,2678,4.5,9,0,2,0.07,0.06
6,14,73,1933,3.63,8,0,0,0.12,0.04
24,19,61,1748,4.47,5,1,2,0.09,0.05
32,27,32,1666,4.41,11,0,0,0.02,0.04
11,30,46,1077,3.82,5,1,2,0.06,0.19
12,33,50,1039,4.73,10,1,2,0.06,0.17
39,15,66,2672,4.81,5,1,2,0.12,0.04
18,12,34,1735,3.82,8,0,0,0.1,0.14
21,17,46,1433,3.61,8,0,0,0.12,0.06
8,39,49,1960,4.41,7,0,1,0.06,0.02
6,18,55,1091,4.22,8,0,0,0.11,0.07
10,14,69,1761,4.14,5,1,2,0.02,0.1
92,2,158,11127,1.8735879879086137,22,4,9,0.45826367721010475,0.42087358958578625
33,11,18,827,4.95,9,0,2,0.05,0.08
22,11,78,1642,4.22,10,0,2,0.12,0.15
30,16,14,2593,3.51,5,0,0,0.08,0.06
38,26,35,2631,4.39,8,1,1,0.07,0.11
14,19,28,851,4.48,8,1,0,0.14,0.18
18,21,39,1536,4.74,10,0,0,0.08,0.03
35,11,57,1136,3.8,7,1,2,0.1,0.16
19,19,25,1695,4.29,4,0,0,0.15,0.09
12,29,27,733,4.17,8,0,1,0.08,0.12
18,10,65,1280,4.5,4,0,2,0.12,0.06
27,13,30,1918,3.6,6,0,0,0.07,0.12
25,22,40,1432,4.83,10,1,1,0.02,0.15
20,21,10,2323,4.27,4,0,2,0.13,0.06
22,20,12,1360,4.82,11,0,1,0.14,0.08
73,1,233,7222,2.406894630321526,21,3,5,0.6469269778794889,0.7041759081849011
30,19,17,2695,4.48,5,0,2,0.08,0.1
29,24,74,799,4.94,5,0,0,0.07,0.07
33,14,71,2455,4.92,11,1,1,0.15,0.1
19,34,16,1976,4.92,8,1,2,0.14,0.07
5,26,16,2523,3.56,7,1,0,0.02,0.07
29,37,17,2930,4.1,9,1,1,0.12,0.13
11,14,28,2470,3.59,8,0,2,0.09,0.11
13,11,26,1033,3.96,8,0,1,0.01,0.14
28,18,20,1756,3.76,9,0,0,0.07,0.17
5,15,58,2157,4.43,7,0,0,0.03,0.19
12,27,20,1652,4.67,7,1,0,0.13,0.05
28,23,50,2252,4.27,6,1,2,0.01,0.13
15,28,71,2183,4.69,6,0,0,0.13,0.12
21,23,61,736,3.52,6,1,0,0.14,0.18
12,17,75,1200,4.73,7,1,2,0.02,0.18
39,26,77,1074,3.77,4,0,0,0.11,0.16
82,3,231,11074,1.7025268540022434,19,5,6,0.5430494077954975,0.5158926536368285
37,12,49,1270,4.16,10,1,0,0.14,0.06
9,38,14,2264,4.81,11,1,2,0.12,0.07
32,19,31,722,4.95,6,1,0,0.11,0.13
11,26,46,1622,3.88,11,0,1,0.14,0.05
13,36,20,2820,3.6,11,0,2,0.03,0.05
12,20,53,1922,4.48,10,1,1,0.06,0.18
16,17,62,2040,4.25,4,1,2,0.13,0.19
38,10,70,2505,4.35,8,0,2,0.02,0.02
37,22,76,929,3.57,11,1,2,0.14,0.18
